goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkInterpolate-4                      	 1000000	      1775 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1775 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1774 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1775 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1778 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       187 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       191 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       187 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       187 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       188 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       111 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       217 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       219 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       162 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       162 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       162 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       162 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       161 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4980 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4955 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4961 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4962 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4964 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1934 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1932 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1932 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1946 ns/op	     192 B/op	       4 allocs/op
