goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkInterpolate-4                      	 1000000	      1771 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1786 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1757 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1758 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	 1000000	      1762 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	10000000	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       111 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       217 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	10000000	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       160 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       159 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       159 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       159 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	10000000	       159 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4943 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4947 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4953 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4961 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  300000	      4948 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1940 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1936 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1936 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1936 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	 1000000	      1936 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	 1000000	      1518 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	 1000000	      1515 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	 1000000	      1542 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	 1000000	      1643 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	 1000000	      1485 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 3000000	       574 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 3000000	       574 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 3000000	       575 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 3000000	       574 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 3000000	       574 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 2000000	       678 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 2000000	       680 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 2000000	       678 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 2000000	       681 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 2000000	       683 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	10000000	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	10000000	       232 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	10000000	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	10000000	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	10000000	       231 ns/op	       0 B/op	       0 allocs/op
--- SKIP: BenchmarkSelectRows2007
    benchmark_integration_test.go:45: Skipped. To enable use -integration=1
--- SKIP: BenchmarkInsert_Prepared
    benchmark_integration_test.go:113: Skipped. To enable use -integration=1
--- SKIP: BenchmarkJackC_GoDBBench
    benchmark_integration_test.go:279: Skipped. To enable use -integration=1. Please also run the script: testdata/person_ffaker.sql
BenchmarkSelect_Rows-4                                        	  500000	      3164 ns/op	    6499 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3158 ns/op	    6498 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3153 ns/op	    6499 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3164 ns/op	    6499 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3165 ns/op	    6499 B/op	      18 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2173 ns/op	    4040 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2181 ns/op	    4040 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2175 ns/op	    4040 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2176 ns/op	    4040 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2177 ns/op	    4040 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4510 ns/op	    6106 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4509 ns/op	    6105 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4375 ns/op	    6105 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4298 ns/op	    6106 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4319 ns/op	    6106 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3817 ns/op	    6361 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3833 ns/op	    6361 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3825 ns/op	    6361 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3827 ns/op	    6361 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3838 ns/op	    6361 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 1000000	      2280 ns/op	     438 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	10000000	      2078 ns/op	     368 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 5000000	       274 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 5000000	       264 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 5000000	       264 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        19.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        19.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        19.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        19.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        19.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26150 ns/op	    9476 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26157 ns/op	    9477 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26151 ns/op	    9478 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26234 ns/op	    9480 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26163 ns/op	    9479 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27648 ns/op	   10420 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27719 ns/op	   10424 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27749 ns/op	   10421 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27730 ns/op	   10433 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27933 ns/op	   10423 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28398 ns/op	   10812 B/op	      30 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28420 ns/op	   10819 B/op	      30 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28447 ns/op	   10808 B/op	      30 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28445 ns/op	   10820 B/op	      30 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     27938 ns/op	   10820 B/op	      30 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24779 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24758 ns/op	    5498 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24893 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24817 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24927 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2465 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2465 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2474 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2469 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2465 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      5011 ns/op	    4776 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4388 ns/op	    4776 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4431 ns/op	    4777 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4410 ns/op	    4777 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4388 ns/op	    4777 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1159 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1158 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1157 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1166 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1156 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 2000000	       657 ns/op	     145 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       680 ns/op	     140 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       268 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       264 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       264 ns/op	      36 B/op	       2 allocs/op
