goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkArgsToIFace/reflection_all_types-4 	  621672	      1789 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4 	  683007	      1805 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4 	  681302	      1780 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4 	  686677	      1773 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1443092	       831 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1447632	       831 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1328247	       830 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1446210	       830 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  502162	      2399 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  501105	      2400 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  502929	      2398 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  502591	      2404 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1539535	       782 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1538433	       780 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1529522	       782 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1541101	       782 ns/op	     688 B/op	      44 allocs/op
BenchmarkInterpolate-4                      	  634338	      1901 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	  636212	      1898 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	  637452	      1898 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	  638730	      1898 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                	 5480584	       217 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	 5582283	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	 5564668	       216 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	 5562086	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                       	10183497	       117 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	10144702	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	10225480	       121 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	10155352	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 4937294	       241 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 5048569	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 5030742	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 5062646	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6495267	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6508399	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6508118	       185 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6492212	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  224370	      5293 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  228078	      5276 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  227360	      5283 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  224930	      5291 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  585928	      2064 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  584440	      2061 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  584178	      2059 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  585105	      2060 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	  751150	      1590 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	  755676	      1589 ns/op	     992 B/op	      34 allocs/op
