goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkArgsToIFace/reflection_all_types-4 	  623835	      1798 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4 	  684494	      1770 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4 	  684976	      1782 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4 	  645154	      1775 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1450731	       829 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1451006	       827 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1442716	       827 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4       	 1449807	       829 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  503533	      2391 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  505335	      2444 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  504254	      2391 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4   	  504164	      2385 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1540072	       779 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1545147	       779 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1541176	       779 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4         	 1542014	       781 ns/op	     688 B/op	      44 allocs/op
BenchmarkInterpolate-4                      	  633506	      1909 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	  628082	      1910 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	  632408	      1908 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                      	  631824	      1908 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                	 5516724	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	 5615035	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	 5551176	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                	 5621280	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                       	10308772	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	10341166	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	10381832	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                       	10360804	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 4876832	       244 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 4954179	       242 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 4966658	       242 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4   	 4966794	       242 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6528327	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6497479	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6510712	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                	 6522855	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  224876	      5301 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  226216	      5309 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  225667	      5297 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4         	  227922	      5293 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  581317	      2060 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  581902	      2068 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  581620	      2063 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4            	  584172	      2106 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	  719755	      1585 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	  755390	      1587 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	  749138	      1588 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4     	  749492	      1588 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 2064732	       575 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 2078133	       574 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 2088924	       575 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4        	 2099937	       575 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 1701962	       705 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 1698687	       707 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 1695560	       705 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4           	 1701609	       707 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	 5098644	       235 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	 5185940	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	 5188060	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	 5171010	       232 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectRows2007/Query-4                               	     314	   3767454 ns/op	  742877 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     306	   3558619 ns/op	  742879 B/op	   17225 allocs/op
