goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_Rows-4                      	  399142	      2850 ns/op	    5866 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  424730	      2815 ns/op	    5866 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  429768	      2821 ns/op	    5866 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  428818	      3114 ns/op	    5866 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  400922	      2970 ns/op	    5866 B/op	      17 allocs/op
BenchmarkSelectBasicSQL-4                   	  530636	      2210 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  545236	      2198 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  548212	      2202 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  544088	      2205 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  536331	      2200 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4           	  254397	      4678 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  258915	      4681 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  252559	      4676 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  255712	      4696 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  258798	      4680 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  290758	      4178 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  281620	      4175 ns/op	    6185 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  289412	      4182 ns/op	    6185 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  286963	      4176 ns/op	    6185 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  291684	      4178 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	  628842	      2213 ns/op	     403 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 1000000	      1074 ns/op	     200 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 5075913	      1868 ns/op	     325 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 4908961	       257 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 4948892	       258 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	61666747	        19.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	60568039	        19.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	61128286	        19.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	60956739	        19.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	60265950	        19.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42016	     28545 ns/op	    9413 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   41624	     28588 ns/op	    9416 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42061	     28571 ns/op	    9416 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   41989	     28587 ns/op	    9413 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42128	     28616 ns/op	    9414 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39018	     30875 ns/op	   10247 B/op	      24 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39128	     30651 ns/op	   10244 B/op	      24 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   38893	     30737 ns/op	   10244 B/op	      24 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39142	     30685 ns/op	   10242 B/op	      24 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   38902	     30763 ns/op	   10248 B/op	      24 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   37956	     31661 ns/op	   10686 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   37792	     31610 ns/op	   10684 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38018	     31653 ns/op	   10687 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   37928	     31620 ns/op	   10683 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38073	     31676 ns/op	   10683 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   41858	     28074 ns/op	    5700 B/op	       8 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   42793	     28449 ns/op	    5701 B/op	       8 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   42580	     28083 ns/op	    5702 B/op	       8 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   42794	     28050 ns/op	    5700 B/op	       8 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   42628	     28057 ns/op	    5702 B/op	       8 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  449866	      2632 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  451406	      2627 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  461504	      2627 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  461336	      2628 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  457130	      2631 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                  	  249565	      4738 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  252001	      4732 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  250618	      4733 ns/op	    4632 B/op	      19 allocs/op
