goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_Rows-4                      	  393554	      2879 ns/op	    5882 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  412153	      2957 ns/op	    5882 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  413200	      2867 ns/op	    5882 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  413952	      2862 ns/op	    5882 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  418636	      2868 ns/op	    5882 B/op	      17 allocs/op
BenchmarkSelectBasicSQL-4                   	  588600	      2041 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  591169	      2043 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  586432	      2057 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  562640	      2039 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  586183	      2041 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4           	  270130	      4442 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  269847	      4729 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  258176	      4645 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  257179	      4649 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  258585	      4655 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  289632	      4111 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  295758	      4169 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  291391	      3989 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  303993	      4089 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  293338	      4119 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	  631690	      2205 ns/op	     402 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 1000000	      1051 ns/op	     199 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 5201306	      1889 ns/op	     324 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 4909779	       259 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 4935572	       256 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	76034617	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	77100303	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	76002997	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	75445059	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4           	76710999	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42384	     28317 ns/op	    9416 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42394	     28356 ns/op	    9412 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42616	     28329 ns/op	    9415 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   41761	     28673 ns/op	    9413 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                             	   42336	     28267 ns/op	    9413 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39716	     30187 ns/op	   10242 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39681	     30209 ns/op	   10237 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39814	     30190 ns/op	   10242 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39658	     30190 ns/op	   10240 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                     	   39822	     30170 ns/op	   10240 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38635	     30950 ns/op	   10646 B/op	      34 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38973	     30978 ns/op	   10650 B/op	      34 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38756	     30974 ns/op	   10648 B/op	      34 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38703	     30844 ns/op	   10648 B/op	      34 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4               	   38475	     30953 ns/op	   10648 B/op	      34 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   43908	     27398 ns/op	    5699 B/op	       7 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   43663	     27443 ns/op	    5701 B/op	       7 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   43778	     27394 ns/op	    5700 B/op	       7 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   43729	     27375 ns/op	    5702 B/op	       7 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4           	   43818	     27393 ns/op	    5703 B/op	       7 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  403008	      2620 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  465691	      2618 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  454058	      2629 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  454916	      2621 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                        	  462252	      2491 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                  	  260940	      4553 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  264576	      4555 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  263606	      4549 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  264600	      4548 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  264577	      4566 ns/op	    4568 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1205 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1218 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  993435	      1261 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  943144	      1255 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1260 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 3663073	       781 ns/op	     209 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4227781	       373 ns/op	      44 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4750456	       308 ns/op	      43 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4788417	       270 ns/op	      37 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4799847	       271 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	65954870	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	65952372	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	66400774	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	66683470	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	66038991	        18.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  637860	      1927 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  662460	      1892 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  624829	      1915 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  639208	      1888 ns/op	    4049 B/op	      16 allocs/op
