goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_Rows-4                      	  408086	      2805 ns/op	    5867 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  425005	      2823 ns/op	    5867 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  424900	      2824 ns/op	    5867 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  429518	      2826 ns/op	    5867 B/op	      17 allocs/op
BenchmarkSelect_Rows-4                      	  422962	      2818 ns/op	    5867 B/op	      17 allocs/op
BenchmarkSelectBasicSQL-4                   	  581770	      2040 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  588606	      2032 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  588927	      2034 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  591057	      2041 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                   	  593493	      2180 ns/op	    3928 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4           	  256579	      4647 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  258247	      4621 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  260106	      4613 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  260912	      4657 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4           	  260343	      4650 ns/op	    5881 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  293810	      4069 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  295572	      4023 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  296365	      3878 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  310186	      3876 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4          	  310869	      3879 ns/op	    6152 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	  626972	      2080 ns/op	     403 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 1000000	      1003 ns/op	     200 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4         	 5130848	      1871 ns/op	     325 B/op	       2 allocs/op
