"CONSTRAINT_CATALOG","CONSTRAINT_SCHEMA","CONSTRAINT_NAME","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","POSITION_IN_UNIQUE_CONSTRAINT","REFERENCED_TABLE_SCHEMA","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"def","magento22","CATALOG_COMPARE_ITEM_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","catalog_compare_item","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CAT_PRD_FRONTEND_ACTION_CSTR_ID_CSTR_ENTT_ENTT_ID","def","magento22","catalog_product_frontend_action","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CUSTOMER_ADDRESS_ENTITY_PARENT_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","customer_address_entity","parent_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CUSTOMER_ENTITY_DATETIME_ENTITY_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","customer_entity_datetime","entity_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CUSTOMER_ENTITY_DECIMAL_ENTITY_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","customer_entity_decimal","entity_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CUSTOMER_ENTITY_INT_ENTITY_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","customer_entity_int","entity_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CUSTOMER_ENTITY_TEXT_ENTITY_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","customer_entity_text","entity_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","CUSTOMER_ENTITY_VARCHAR_ENTITY_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","customer_entity_varchar","entity_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","DL_LNK_PURCHASED_CSTR_ID_CSTR_ENTT_ENTT_ID","def","magento22","downloadable_link_purchased","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","OAUTH_TOKEN_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","oauth_token","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","PAYPAL_BILLING_AGREEMENT_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","paypal_billing_agreement","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","PERSISTENT_SESSION_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","persistent_session","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","PRODUCT_ALERT_PRICE_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","product_alert_price","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","PRODUCT_ALERT_STOCK_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","product_alert_stock","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","REPORT_CMPD_PRD_IDX_CSTR_ID_CSTR_ENTT_ENTT_ID","def","magento22","report_compared_product_index","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","REPORT_VIEWED_PRD_IDX_CSTR_ID_CSTR_ENTT_ENTT_ID","def","magento22","report_viewed_product_index","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","REVIEW_DETAIL_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","review_detail","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","SALESRULE_COUPON_USAGE_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","salesrule_coupon_usage","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","SALESRULE_CUSTOMER_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","salesrule_customer","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","SALES_ORDER_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","sales_order","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","VAULT_PAYMENT_TOKEN_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","vault_payment_token","customer_id",1,1,"magento22","customer_entity","entity_id"
"def","magento22","WISHLIST_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID","def","magento22","wishlist","customer_id",1,1,"magento22","customer_entity","entity_id"
