"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","COLUMN_TYPE","COLUMN_KEY","EXTRA","COLUMN_COMMENT"
"dmlgen_types","id",1,NULL,"NO","int",NULL,10,0,"int(11)","PRI","auto_increment",""
"dmlgen_types","col_bigint_1",2,"NULL","YES","bigint",NULL,19,0,"bigint(20)","","",""
"dmlgen_types","col_bigint_2",3,0,"NO","bigint",NULL,19,0,"bigint(20)","","",""
"dmlgen_types","col_bigint_3",4,"NULL","YES","bigint",NULL,20,0,"bigint(20) unsigned","","",""
"dmlgen_types","col_bigint_4",5,0,"NO","bigint",NULL,20,0,"bigint(20) unsigned","","",""
"dmlgen_types","col_blob",6,"NULL","YES","blob",65535,NULL,NULL,"blob","","",""
"dmlgen_types","col_date_1",7,"NULL","YES","date",NULL,NULL,NULL,"date","","",""
"dmlgen_types","col_date_2",8,"'0000-00-00'","NO","date",NULL,NULL,NULL,"date","","",""
"dmlgen_types","col_datetime_1",9,"NULL","YES","datetime",NULL,NULL,NULL,"datetime","","",""
"dmlgen_types","col_datetime_2",10,"'0000-00-00 00:00:00'","NO","datetime",NULL,NULL,NULL,"datetime","","",""
"dmlgen_types","col_decimal_10_0",11,"NULL","YES","decimal",NULL,10,0,"decimal(10,0) unsigned","","",""
"dmlgen_types","col_decimal_12_4",12,"NULL","YES","decimal",NULL,12,4,"decimal(12,4)","","",""
"dmlgen_types","price_12_4a",13,"NULL","YES","decimal",NULL,12,4,"decimal(12,4)","","",""
"dmlgen_types","price_12_4b",14,0.0000,"NO","decimal",NULL,12,4,"decimal(12,4)","","",""
"dmlgen_types","col_decimal_12_3",15,0.000,"NO","decimal",NULL,12,3,"decimal(12,3)","","",""
"dmlgen_types","col_decimal_20_6",16,0.000000,"NO","decimal",NULL,20,6,"decimal(20,6)","","",""
"dmlgen_types","col_decimal_24_12",17,0.000000000000,"NO","decimal",NULL,24,12,"decimal(24,12)","","",""
"dmlgen_types","col_float",18,1,"NO","float",NULL,12,NULL,"float","","",""
"dmlgen_types","col_int_1",19,"NULL","YES","int",NULL,10,0,"int(10)","","",""
"dmlgen_types","col_int_2",20,0,"NO","int",NULL,10,0,"int(10)","","",""
"dmlgen_types","col_int_3",21,"NULL","YES","int",NULL,10,0,"int(10) unsigned","","",""
"dmlgen_types","col_int_4",22,0,"NO","int",NULL,10,0,"int(10) unsigned","","",""
"dmlgen_types","col_longtext_1",23,"NULL","YES","longtext",4294967295,NULL,NULL,"longtext","","",""
"dmlgen_types","col_longtext_2",24,"''","NO","longtext",4294967295,NULL,NULL,"longtext","","",""
"dmlgen_types","col_mediumblob",25,"NULL","YES","mediumblob",16777215,NULL,NULL,"mediumblob","","",""
"dmlgen_types","col_mediumtext_1",26,"NULL","YES","mediumtext",16777215,NULL,NULL,"mediumtext","","",""
"dmlgen_types","col_mediumtext_2",27,"''","NO","mediumtext",16777215,NULL,NULL,"mediumtext","","",""
"dmlgen_types","col_smallint_1",28,"NULL","YES","smallint",NULL,5,0,"smallint(5)","","",""
"dmlgen_types","col_smallint_2",29,0,"NO","smallint",NULL,5,0,"smallint(5)","","",""
"dmlgen_types","col_smallint_3",30,"NULL","YES","smallint",NULL,5,0,"smallint(5) unsigned","","",""
"dmlgen_types","col_smallint_4",31,0,"NO","smallint",NULL,5,0,"smallint(5) unsigned","","",""
"dmlgen_types","has_smallint_5",32,0,"NO","smallint",NULL,5,0,"smallint(5) unsigned","","",""
"dmlgen_types","is_smallint_5",33,"NULL","YES","smallint",NULL,5,0,"smallint(5)","","",""
"dmlgen_types","col_text",34,"NULL","YES","text",65535,NULL,NULL,"text","","",""
"dmlgen_types","col_timestamp_1",35,"current_timestamp()","NO","timestamp",NULL,NULL,NULL,"timestamp","","",""
"dmlgen_types","col_timestamp_2",36,"NULL","YES","timestamp",NULL,NULL,NULL,"timestamp","","",""
"dmlgen_types","col_tinyint_1",37,0,"NO","tinyint",NULL,3,0,"tinyint(1)","","",""
"dmlgen_types","col_varchar_1",38,"'0'","NO","varchar",1,NULL,NULL,"varchar(1)","","",""
"dmlgen_types","col_varchar_100",39,"NULL","YES","varchar",100,NULL,NULL,"varchar(100)","","",""
"dmlgen_types","col_varchar_16",40,"'de_DE'","NO","varchar",16,NULL,NULL,"varchar(16)","","",""
"dmlgen_types","col_char_1",41,"NULL","YES","char",21,NULL,NULL,"char(21)","","",""
"dmlgen_types","col_char_2",42,"'xchar'","NO","char",17,NULL,NULL,"char(17)","","",""
