Benchmark_MoneyScan-4                      	 5000000	       312 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       327 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       319 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       331 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       326 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       324 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       330 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       327 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       334 ns/op	       8 B/op	       1 allocs/op
Benchmark_MoneyScan-4                      	 5000000	       325 ns/op	       8 B/op	       1 allocs/op
Benchmark_ParseFloat-4                     	30000000	        50.0 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        49.9 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        50.1 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        48.9 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        49.8 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        49.7 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        50.4 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        49.2 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        50.9 ns/op	       0 B/op	       0 allocs/op
Benchmark_ParseFloat-4                     	30000000	        49.0 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       968 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       950 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       964 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       966 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       963 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       948 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       950 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       937 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       970 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Number-4    	 2000000	       954 ns/op	     256 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1149 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1163 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1141 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1139 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1156 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1130 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1172 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1161 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1123 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle__Locale-4    	 1000000	      1159 ns/op	     288 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1158 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1148 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1136 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1153 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1178 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1150 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1120 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1164 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1152 ns/op	     384 B/op	       4 allocs/op
Benchmark_JSONUnMarshalSingle_Extended-4   	 1000000	      1133 ns/op	     384 B/op	       4 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1115 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1091 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1084 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1120 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1126 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1086 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1103 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1128 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1075 ns/op	     240 B/op	       8 allocs/op
Benchmark_NumberWriter-4                   	 1000000	      1120 ns/op	     240 B/op	       8 allocs/op
