BenchmarkDeleteSql-4           	 1000000	      1185 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1169 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1145 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1169 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1172 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1149 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1188 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1155 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1162 ns/op	     424 B/op	      14 allocs/op
BenchmarkDeleteSql-4           	 1000000	      1160 ns/op	     424 B/op	      14 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1181 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1199 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1265 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1188 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1290 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1341 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1342 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1198 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1215 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertValuesSql-4     	 1000000	      1229 ns/op	     344 B/op	      10 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3846 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3938 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3855 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3883 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3821 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3869 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      4001 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3903 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3888 ns/op	    1104 B/op	      45 allocs/op
BenchmarkInsertRecordsSql-4    	  500000	      3862 ns/op	    1104 B/op	      45 allocs/op
BenchmarkQuoteAs-4             	10000000	       225 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       225 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       226 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       230 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       227 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       227 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       226 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       228 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       227 ns/op	      48 B/op	       2 allocs/op
BenchmarkQuoteAs-4             	10000000	       226 ns/op	      48 B/op	       2 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2066 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2064 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2075 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2135 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2365 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	  500000	      2323 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2129 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2109 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2118 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectBasicSql-4      	 1000000	      2122 ns/op	     872 B/op	      21 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4731 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4732 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4741 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4755 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4762 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4729 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4745 ns/op	    1921 B/op	      48 allocs/op
BenchmarkSelectFullSql-4       	  300000	      4709 ns/op	    1921 B/op	      48 allocs/op
