goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/storage/objcache
Benchmark_BigCache_Country/Gob_1x-4         	   50000	     22321 ns/op	   10551 B/op	     274 allocs/op
Benchmark_BigCache_Country/Gob_1x-4         	  100000	     22118 ns/op	   10543 B/op	     274 allocs/op
Benchmark_BigCache_Country/Gob_1x-4         	  100000	     21589 ns/op	   10542 B/op	     274 allocs/op
Benchmark_BigCache_Country/Gob_1x-4         	  100000	     22088 ns/op	   10543 B/op	     274 allocs/op
Benchmark_BigCache_Country/Gob_1x-4         	  100000	     21913 ns/op	   10539 B/op	     274 allocs/op
Benchmark_BigCache_Country/Gob_1x-4         	  100000	     23228 ns/op	   10541 B/op	     274 allocs/op
Benchmark_BigCache_Country/Gob_2x-4         	   30000	     34788 ns/op	   16671 B/op	     439 allocs/op
Benchmark_BigCache_Country/Gob_2x-4         	   50000	     34153 ns/op	   16665 B/op	     439 allocs/op
Benchmark_BigCache_Country/Gob_2x-4         	   50000	     32896 ns/op	   16665 B/op	     439 allocs/op
Benchmark_BigCache_Country/Gob_2x-4         	   50000	     35435 ns/op	   16662 B/op	     439 allocs/op
Benchmark_BigCache_Country/Gob_2x-4         	   50000	     34313 ns/op	   16662 B/op	     439 allocs/op
Benchmark_BigCache_Country/Gob_2x-4         	   50000	     34112 ns/op	   16664 B/op	     439 allocs/op
Benchmark_BigCache_Country/JSON_1x-4        	   30000	     50811 ns/op	   23739 B/op	     434 allocs/op
Benchmark_BigCache_Country/JSON_1x-4        	   30000	     51615 ns/op	   23740 B/op	     434 allocs/op
Benchmark_BigCache_Country/JSON_1x-4        	   30000	     50749 ns/op	   23739 B/op	     434 allocs/op
Benchmark_BigCache_Country/JSON_1x-4        	   30000	     50499 ns/op	   23740 B/op	     434 allocs/op
Benchmark_BigCache_Country/JSON_1x-4        	   30000	     50232 ns/op	   23740 B/op	     434 allocs/op
Benchmark_BigCache_Country/JSON_1x-4        	   30000	     50882 ns/op	   23740 B/op	     434 allocs/op
Benchmark_BigCache_Country/JSON_2x-4        	   20000	     84804 ns/op	   39346 B/op	     731 allocs/op
Benchmark_BigCache_Country/JSON_2x-4        	   20000	     86014 ns/op	   39345 B/op	     731 allocs/op
Benchmark_BigCache_Country/JSON_2x-4        	   20000	     86475 ns/op	   39345 B/op	     731 allocs/op
Benchmark_BigCache_Country/JSON_2x-4        	   20000	     87111 ns/op	   39345 B/op	     731 allocs/op
Benchmark_BigCache_Country/JSON_2x-4        	   20000	     85887 ns/op	   39346 B/op	     731 allocs/op
Benchmark_BigCache_Country/JSON_2x-4        	   20000	     84872 ns/op	   39346 B/op	     731 allocs/op
Benchmark_BigCache_Country/MsgPack_1x-4     	  100000	     20483 ns/op	   12013 B/op	     148 allocs/op
Benchmark_BigCache_Country/MsgPack_1x-4     	  100000	     20588 ns/op	   12013 B/op	     148 allocs/op
Benchmark_BigCache_Country/MsgPack_1x-4     	  100000	     20491 ns/op	   12012 B/op	     148 allocs/op
Benchmark_BigCache_Country/MsgPack_1x-4     	  100000	     20811 ns/op	   12013 B/op	     148 allocs/op
Benchmark_BigCache_Country/MsgPack_1x-4     	  100000	     20487 ns/op	   12012 B/op	     148 allocs/op
Benchmark_BigCache_Country/MsgPack_1x-4     	  100000	     20384 ns/op	   12012 B/op	     148 allocs/op
Benchmark_BigCache_Country/MsgPack_2x-4     	   50000	     33232 ns/op	   18103 B/op	     280 allocs/op
Benchmark_BigCache_Country/MsgPack_2x-4     	   50000	     33071 ns/op	   18103 B/op	     280 allocs/op
Benchmark_BigCache_Country/MsgPack_2x-4     	   50000	     33373 ns/op	   18104 B/op	     280 allocs/op
Benchmark_BigCache_Country/MsgPack_2x-4     	   50000	     32739 ns/op	   18104 B/op	     280 allocs/op
Benchmark_BigCache_Country/MsgPack_2x-4     	   50000	     33233 ns/op	   18104 B/op	     280 allocs/op
Benchmark_BigCache_Country/MsgPack_2x-4     	   50000	     33047 ns/op	   18103 B/op	     280 allocs/op
Benchmark_BigCache_Stores/Gob_1x-4          	  300000	      4703 ns/op	    1312 B/op	      32 allocs/op
Benchmark_BigCache_Stores/Gob_1x-4          	  300000	      4710 ns/op	    1312 B/op	      32 allocs/op
Benchmark_BigCache_Stores/Gob_1x-4          	  300000	      4839 ns/op	    1312 B/op	      32 allocs/op
Benchmark_BigCache_Stores/Gob_1x-4          	  300000	      4707 ns/op	    1312 B/op	      32 allocs/op
Benchmark_BigCache_Stores/Gob_1x-4          	  300000	      4778 ns/op	    1312 B/op	      32 allocs/op
Benchmark_BigCache_Stores/Gob_1x-4          	  300000	      4777 ns/op	    1312 B/op	      32 allocs/op
Benchmark_BigCache_Stores/Gob_2x-4          	  200000	      7299 ns/op	    2352 B/op	      60 allocs/op
Benchmark_BigCache_Stores/Gob_2x-4          	  200000	      7355 ns/op	    2352 B/op	      60 allocs/op
Benchmark_BigCache_Stores/Gob_2x-4          	  200000	      7291 ns/op	    2352 B/op	      60 allocs/op
Benchmark_BigCache_Stores/Gob_2x-4          	  200000	      7254 ns/op	    2352 B/op	      60 allocs/op
Benchmark_BigCache_Stores/Gob_2x-4          	  200000	      7351 ns/op	    2352 B/op	      60 allocs/op
Benchmark_BigCache_Stores/Gob_2x-4          	  200000	      7342 ns/op	    2352 B/op	      60 allocs/op
Benchmark_BigCache_Stores/JSON_1x-4         	  100000	     13502 ns/op	    4885 B/op	      49 allocs/op
Benchmark_BigCache_Stores/JSON_1x-4         	  100000	     13740 ns/op	    4885 B/op	      49 allocs/op
Benchmark_BigCache_Stores/JSON_1x-4         	  100000	     13594 ns/op	    4885 B/op	      49 allocs/op
Benchmark_BigCache_Stores/JSON_1x-4         	  100000	     13530 ns/op	    4885 B/op	      49 allocs/op
Benchmark_BigCache_Stores/JSON_1x-4         	  100000	     13679 ns/op	    4885 B/op	      49 allocs/op
Benchmark_BigCache_Stores/JSON_1x-4         	  100000	     13568 ns/op	    4885 B/op	      49 allocs/op
Benchmark_BigCache_Stores/JSON_2x-4         	   50000	     24638 ns/op	    8955 B/op	      93 allocs/op
Benchmark_BigCache_Stores/JSON_2x-4         	   50000	     24842 ns/op	    8955 B/op	      93 allocs/op
Benchmark_BigCache_Stores/JSON_2x-4         	   50000	     24510 ns/op	    8955 B/op	      93 allocs/op
Benchmark_BigCache_Stores/JSON_2x-4         	   50000	     24831 ns/op	    8955 B/op	      93 allocs/op
Benchmark_BigCache_Stores/JSON_2x-4         	   50000	     25037 ns/op	    8955 B/op	      93 allocs/op
Benchmark_BigCache_Stores/JSON_2x-4         	   50000	     25338 ns/op	    8955 B/op	      93 allocs/op
Benchmark_BigCache_Stores/MsgPack_1x-4      	  200000	      9848 ns/op	    3455 B/op	      43 allocs/op
Benchmark_BigCache_Stores/MsgPack_1x-4      	  200000	      9853 ns/op	    3455 B/op	      43 allocs/op
Benchmark_BigCache_Stores/MsgPack_1x-4      	  200000	      9911 ns/op	    3455 B/op	      43 allocs/op
Benchmark_BigCache_Stores/MsgPack_1x-4      	  200000	      9816 ns/op	    3455 B/op	      43 allocs/op
Benchmark_BigCache_Stores/MsgPack_1x-4      	  200000	      9856 ns/op	    3455 B/op	      43 allocs/op
Benchmark_BigCache_Stores/MsgPack_1x-4      	  200000	      9860 ns/op	    3455 B/op	      43 allocs/op
Benchmark_BigCache_Stores/MsgPack_2x-4      	  100000	     15510 ns/op	    5311 B/op	      75 allocs/op
Benchmark_BigCache_Stores/MsgPack_2x-4      	  100000	     15567 ns/op	    5311 B/op	      75 allocs/op
Benchmark_BigCache_Stores/MsgPack_2x-4      	  100000	     15605 ns/op	    5311 B/op	      75 allocs/op
Benchmark_BigCache_Stores/MsgPack_2x-4      	  100000	     15698 ns/op	    5311 B/op	      75 allocs/op
Benchmark_BigCache_Stores/MsgPack_2x-4      	  100000	     15578 ns/op	    5311 B/op	      75 allocs/op
Benchmark_BigCache_Stores/MsgPack_2x-4      	  100000	     15433 ns/op	    5311 B/op	      75 allocs/op
Benchmark_Redis_Gob/Country_1x-4            	   20000	     92573 ns/op	   11516 B/op	     293 allocs/op
Benchmark_Redis_Gob/Country_1x-4            	   20000	     92023 ns/op	   11499 B/op	     293 allocs/op
Benchmark_Redis_Gob/Country_1x-4            	   20000	     93495 ns/op	   11516 B/op	     293 allocs/op
Benchmark_Redis_Gob/Country_1x-4            	   20000	     92864 ns/op	   11505 B/op	     293 allocs/op
Benchmark_Redis_Gob/Country_1x-4            	   20000	     95044 ns/op	   11521 B/op	     293 allocs/op
Benchmark_Redis_Gob/Country_1x-4            	   20000	     96186 ns/op	   11546 B/op	     294 allocs/op
Benchmark_Redis_Gob/Country_2x-4            	   10000	    141802 ns/op	   18140 B/op	     468 allocs/op
Benchmark_Redis_Gob/Country_2x-4            	   10000	    149980 ns/op	   18044 B/op	     467 allocs/op
Benchmark_Redis_Gob/Country_2x-4            	   10000	    136792 ns/op	   18126 B/op	     468 allocs/op
Benchmark_Redis_Gob/Country_2x-4            	   10000	    144772 ns/op	   18137 B/op	     468 allocs/op
Benchmark_Redis_Gob/Country_2x-4            	   10000	    143525 ns/op	   18087 B/op	     468 allocs/op
Benchmark_Redis_Gob/Country_2x-4            	   10000	    139540 ns/op	   18012 B/op	     466 allocs/op
Benchmark_Redis_Gob/Stores_1x-4             	   20000	     77958 ns/op	    1552 B/op	      39 allocs/op
Benchmark_Redis_Gob/Stores_1x-4             	   20000	     78795 ns/op	    1553 B/op	      39 allocs/op
Benchmark_Redis_Gob/Stores_1x-4             	   20000	     75046 ns/op	    1551 B/op	      39 allocs/op
Benchmark_Redis_Gob/Stores_1x-4             	   20000	     76300 ns/op	    1554 B/op	      39 allocs/op
Benchmark_Redis_Gob/Stores_1x-4             	   20000	     77497 ns/op	    1554 B/op	      39 allocs/op
Benchmark_Redis_Gob/Stores_1x-4             	   20000	     77968 ns/op	    1553 B/op	      39 allocs/op
Benchmark_Redis_Gob/Stores_2x-4             	   10000	    116390 ns/op	    2718 B/op	      71 allocs/op
Benchmark_Redis_Gob/Stores_2x-4             	   10000	    114922 ns/op	    2718 B/op	      71 allocs/op
Benchmark_Redis_Gob/Stores_2x-4             	   10000	    112724 ns/op	    2718 B/op	      71 allocs/op
Benchmark_Redis_Gob/Stores_2x-4             	   10000	    116020 ns/op	    2722 B/op	      71 allocs/op
Benchmark_Redis_Gob/Stores_2x-4             	   10000	    114179 ns/op	    2718 B/op	      71 allocs/op
Benchmark_Redis_Gob/Stores_2x-4             	   10000	    115072 ns/op	    2716 B/op	      71 allocs/op
Benchmark_Redis_MsgPack/Country_1x-4        	   20000	     98193 ns/op	   12261 B/op	     155 allocs/op
Benchmark_Redis_MsgPack/Country_1x-4        	   10000	    100224 ns/op	   12267 B/op	     155 allocs/op
Benchmark_Redis_MsgPack/Country_1x-4        	   20000	     97126 ns/op	   12262 B/op	     155 allocs/op
Benchmark_Redis_MsgPack/Country_1x-4        	   20000	     95666 ns/op	   12261 B/op	     155 allocs/op
Benchmark_Redis_MsgPack/Country_1x-4        	   20000	     94969 ns/op	   12258 B/op	     155 allocs/op
Benchmark_Redis_MsgPack/Country_1x-4        	   20000	    101178 ns/op	   12264 B/op	     155 allocs/op
Benchmark_Redis_MsgPack/Country_2x-4        	   10000	    142327 ns/op	   18445 B/op	     290 allocs/op
Benchmark_Redis_MsgPack/Country_2x-4        	   10000	    148862 ns/op	   18448 B/op	     290 allocs/op
Benchmark_Redis_MsgPack/Country_2x-4        	   10000	    139816 ns/op	   18449 B/op	     290 allocs/op
Benchmark_Redis_MsgPack/Country_2x-4        	   10000	    141849 ns/op	   18445 B/op	     290 allocs/op
Benchmark_Redis_MsgPack/Country_2x-4        	   10000	    140351 ns/op	   18448 B/op	     290 allocs/op
Benchmark_Redis_MsgPack/Country_2x-4        	   10000	    143552 ns/op	   18448 B/op	     290 allocs/op
Benchmark_Redis_MsgPack/Stores_1x-4         	   20000	     84585 ns/op	    3671 B/op	      50 allocs/op
Benchmark_Redis_MsgPack/Stores_1x-4         	   20000	     81879 ns/op	    3671 B/op	      50 allocs/op
Benchmark_Redis_MsgPack/Stores_1x-4         	   20000	     86060 ns/op	    3671 B/op	      50 allocs/op
Benchmark_Redis_MsgPack/Stores_1x-4         	   20000	     86172 ns/op	    3671 B/op	      50 allocs/op
Benchmark_Redis_MsgPack/Stores_1x-4         	   20000	     84705 ns/op	    3671 B/op	      50 allocs/op
Benchmark_Redis_MsgPack/Stores_1x-4         	   20000	     83610 ns/op	    3671 B/op	      50 allocs/op
Benchmark_Redis_MsgPack/Stores_2x-4         	   10000	    120065 ns/op	    5627 B/op	      85 allocs/op
Benchmark_Redis_MsgPack/Stores_2x-4         	   10000	    125019 ns/op	    5627 B/op	      85 allocs/op
Benchmark_Redis_MsgPack/Stores_2x-4         	   10000	    123210 ns/op	    5627 B/op	      85 allocs/op
Benchmark_Redis_MsgPack/Stores_2x-4         	   10000	    125737 ns/op	    5627 B/op	      85 allocs/op
Benchmark_Redis_MsgPack/Stores_2x-4         	   10000	    124795 ns/op	    5628 B/op	      85 allocs/op
Benchmark_Redis_MsgPack/Stores_2x-4         	   10000	    123391 ns/op	    5627 B/op	      85 allocs/op
PASS
ok  	github.com/corestoreio/pkg/storage/objcache	249.113s
