testing: warning: no tests to run
BenchmarkToString_String-4        	20000000	        79.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        78.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        78.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        78.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        79.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        78.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        79.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        78.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        79.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-4        	20000000	        78.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Bytes-4         	10000000	       136 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       139 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       138 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       139 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       141 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       142 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       139 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       139 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       141 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Bytes-4         	10000000	       141 ns/op	      64 B/op	       1 allocs/op
BenchmarkToString_Float64-4       	 3000000	       437 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       427 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       421 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       430 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       425 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       434 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       438 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       435 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       437 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Float64-4       	 3000000	       432 ns/op	      64 B/op	       2 allocs/op
BenchmarkToString_Int-4           	10000000	       134 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       136 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       140 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       133 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       133 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       132 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       135 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       133 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       137 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_Int-4           	10000000	       135 ns/op	       5 B/op	       1 allocs/op
BenchmarkToString_CfgPathPath-4   	 1000000	      1048 ns/op	     144 B/op	       2 allocs/op
