BenchmarkVersionV1-4   	   50000	     34827 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34457 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34366 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34886 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34447 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34297 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34312 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     33914 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     33884 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV1-4   	   50000	     34384 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     31897 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     32126 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30771 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30680 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30352 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30793 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30883 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30818 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     30430 ns/op	       0 B/op	       0 allocs/op
BenchmarkVersionV2-4   	   50000	     29619 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/corestoreio/csfw/util/magento	39.227s
